Salary;Work_Type;Company_Size;Role;Company;Percent
48800;стажер;59984;менеджер ИТ-проектов;Uber Technologies;106
51200;временная;57908;менеджер по контролю качества;Графическая упаковка;104
52000;Неполный рабочий день;14167;Менеджер по работе с клиентами;Jubilant Foodworks;110
50400;Временная;122077; Веб-разработчик; AGCO;102
48800;временная;72890;разработчик баз данных;Diageo;99
50400;Неполный рабочий день;51195;Юридический секретарь;Continental Resources;107
44000;неполный рабочий день;118838;специалист по продажам медицинских услуг;Eversource Energy;93
44800;полный рабочий день;118067;офисный координатор;Аэрофлот;96
44000;контракт;35498;дизайнер взаимодействия;Avantor;94
45600;стажер;76972;дизайнер взаимодействия;Здоровье;99
44800;контракт;37063;представитель по внутренним продажам;BHEL;95
47200;полный рабочий день;37773;испытатель автоматики;Marathon Oil;101
48800;временный;40994;Дизайнер пользовательского интерфейса;Geely Automobile Holdings;102
49600; Полная занятость;77933;менеджер по работе с клиентами;Williams;100
48800;временная;84357;архитектор проектов;AES;99
45600; частичная занятость;86636;менеджер по обеспечению качества обслуживания;Sun Pharmaceutical Industries;100
47200;неполный рабочий день;130927;тестировщик производительности;Burberry Group;100
